kid,yield_i,yield_ib,yield_ii
90,2,2,18
277,9,6,59
280,2,2,18
5,67,100,89
281,2,2,17
276,0,2,17
89,0,2,19
103,0,2,17
104,1,2,17
320,5,4,67
2,3,3,25
337,6,5,75
44,88,67,91
299,3,2,19
314,43,25,83
296,3,2,19
311,54,20,90
310,3,2,18
309,4,4,43
295,2,2,15
292,2,2,19
327,4,3,44
340,2,2,18
42,5,none,19
3,9,none,58
1,6,none,49
102,3,none,19
263,9,none,53
323,4,4,34
22,8,9,25
21,31,22,38
79,20,13,24
20,37,23,38
252,49,none,37
239,29,23,37
70,12,15,37
11,38,23,37
32,9,5,25
30,2,2,17
8,2,2,16
243,0,1,6
14,25,15,54
88,10,4,20
12,1,1,10
65,67,47,54
251,2,2,16
739,0,1,7
838,3,0,3
137,0,0,1
735,0,1,9
10,9,6,26
64,3,3,14
6,2,2,14
266,31,23,70
117,31,43,61
82,60,67,84
196,2,2,18
133,15,11,50
233,7,9,16
249,36,42,69
53,0,0,10
795,5,1,6
797,1,1,3
796,0,0,2
798,0,0,2
260,7,2,24
720,0,0,0
799,0,0,5
608,0,1,12
584,0,1,6
303,0,0,0
344,5,0,7
208,3,3,14
68,42,35,76
487,8,6,34
162,47,33,83
159,41,11,38
171,58,28,41
157,90,45,80
158,86,48,83
175,46,33,72
168,57,32,86
176,11,5,17
180,9,6,32
163,2,3,32
184,54,43,60
165,54,39,90
185,22,19,53
179,10,5,32
170,31,51,71
182,78,43,86
169,52,27,78
566,20,65,80
186,28,23,55
187,87,71,87
cutoff,10,10,19
